id,label,magnetic field x-axis [T],magnetic field y-axis [T],magnetic field z-axis [T],time [s],amplitude
72,8.0,,,,1594228777.5898926,5.18
73,8.0,,,,1594228777.5996685,-1.19
74,8.0,,,,1594228777.6094446,-5.63
75,8.0,,,,1594228777.6192207,1.97
76,8.0,,,,1594228777.6289964,0.52
77,8.0,,,,1594228777.638773,6.49
78,8.0,,,,1594228777.648549,-8.6
79,8.0,,,,1594228777.6583252,-1.18
80,8.0,,,,1594228777.668101,-17.33
81,8.0,,,,1594228777.6778774,-24.42
82,8.0,,,,1594228777.6876535,-0.06
83,8.0,,,,1594228777.6974294,24.35
84,8.0,,,,1594228777.7072058,35.76
85,8.0,,,,1594228777.7169821,73.15
86,8.0,,,,1594228777.726758,5.47
87,8.0,,,,1594228777.7365339,34.15
88,8.0,,,,1594228777.7463102,26.08
89,8.0,,,,1594228777.7560866,-125.8
90,8.0,,,,1594228777.7658625,-163.57
91,8.0,,,,1594228777.7756386,-62.7
92,8.0,,,,1594228777.785415,-5.99
93,8.0,,,,1594228777.7951908,65.24
94,8.0,,,,1594228777.804967,87.31
95,8.0,,,,1594228777.814743,102.93
96,8.0,,,,1594228777.8245196,64.21
97,8.0,,,,1594228777.8342953,6.6
98,8.0,,,,1594228777.8440714,-58.7629
99,8.0,,,,1594228777.8538475,-3.05
100,8.0,,,,1594228777.8636234,15.42
101,8.0,,,,1594228777.8733995,22.69
102,8.0,,,,1594228777.8831758,30.26
103,8.0,,,,1594228777.892952,2.55
104,8.0,,,,1594228777.9027278,-12.5
105,8.0,,,,1594228777.9125042,-14.82
106,8.0,,,,1594228777.9222806,-7.97
107,8.0,,,,1594228777.9320564,-7.34
108,8.0,,,,1594228777.9418323,-6.0
109,8.0,,,,1594228777.951609,-4.7
110,8.0,,,,1594228777.9613848,7.35
111,8.0,,,,1594228777.971161,-2.37
112,8.0,,,,1594228777.980937,6.71
113,8.0,,,,1594228777.9907134,-4.52
114,8.0,,,,1594228778.0004892,-12.48
115,8.0,,,,1594228778.0102654,-23.33
116,8.0,,,,1594228778.0200415,-11.6
117,8.0,,,,1594228778.0298176,-0.67
118,8.0,,,,1594228778.0395935,-3.06
119,8.0,,,,1594228778.0493698,0.37
120,8.0,,,,1594228778.0591464,-2.96
121,8.0,,,,1594228778.068922,-0.78
122,8.0,,,,1594228778.0786982,-15.83
123,8.0,,,,1594228778.0884745,-7.2
124,8.0,,,,1594228778.0982506,8.13
125,8.0,,,,1594228778.1080265,12.37
126,8.0,,,,1594228778.1178026,2.19
127,8.0,,,,1594228778.1275787,25.03
128,8.0,,,,1594228778.1373544,11.9
129,8.0,,,,1594228778.147131,-3.83
130,8.0,,,,1594228778.156907,-8.42
131,8.0,,,,1594228778.1666832,-14.62
132,8.0,,,,1594228778.176459,-13.7
133,8.0,,,,1594228778.1862354,-7.57
134,8.0,,,,1594228778.1960115,4.72
135,8.0,,,,1594228778.2057874,0.62
136,8.0,,,,1594228778.2155638,1.12
137,8.0,,,,1594228778.2253401,9.44
138,8.0,,,,1594228778.235116,4.2
139,8.0,,,,1594228778.244892,-12.3
140,8.0,,,,1594228778.2546682,6.8
141,8.0,,,,1594228778.2644446,2.46
142,8.0,,,,1594228778.2742205,2.83
143,8.0,,,,1594228778.2839966,8.73
144,8.0,,,,1594228778.2937727,-5.86
145,8.0,,,,1594228778.3035488,-14.25
146,8.0,,,,1594228778.313325,3.4
147,8.0,,,,1594228778.323101,4.39
148,8.0,,,,1594228778.3328776,-1.14
149,8.0,,,,1594228778.3426533,-5.75
150,8.0,,,,1594228778.3524294,1.56
151,8.0,,,,1594228778.3622055,0.53
152,8.0,,,,1594228778.3719814,6.59
153,8.0,,,,1594228778.3817575,-9.25
154,8.0,,,,1594228778.391534,-1.04
155,8.0,,,,1594228778.40131,-17.72
156,8.0,,,,1594228778.4110858,-23.36
157,8.0,,,,1594228778.4208622,0.88
158,8.0,,,,1594228778.4306386,24.75
159,8.0,,,,1594228778.4404144,37.2
160,8.0,,,,1594228778.4501905,74.8
161,8.0,,,,1594228778.459967,1.84
162,8.0,,,,1594228778.4697428,35.74
163,8.0,,,,1594228778.479519,23.46
164,8.0,,,,1594228778.489295,-129.18
165,8.0,,,,1594228778.4990716,-161.81
166,8.0,,,,1594228778.5088472,-58.78
167,8.0,,,,1594228778.5186234,-2.45
168,8.0,,,,1594228778.5283995,70.52
169,8.0,,,,1594228778.5381756,109.68
170,8.0,,,,1594228778.5479515,65.84
171,8.0,,,,1594228778.5577278,66.88
172,8.0,,,,1594228778.567504,1.43
173,8.0,,,,1594228778.57728,-57.8
174,8.0,,,,1594228778.5870562,9.83
175,8.0,,,,1594228778.5968325,7.69
176,8.0,,,,1594228778.6066086,0.6
177,8.0,,,,1594228778.6163845,-4.6
178,8.0,,,,1594228778.6261606,4.65
179,8.0,,,,1594228778.6359367,-7.88
180,8.0,,,,1594228778.6457126,-8.23
181,8.0,,,,1594228778.655489,-27.3
182,8.0,,,,1594228778.665265,-18.04
183,8.0,,,,1594228778.6750412,7.95
184,8.0,,,,1594228778.684817,23.07
185,8.0,,,,1594228778.6945937,12.21
186,8.0,,,,1594228778.7043695,-23.67
187,8.0,,,,1594228778.7141454,-4.96
188,8.0,,,,1594228778.7239218,7.44
189,8.0,,,,1594228778.7336981,-1.64
190,8.0,,,,1594228778.743474,22.01
191,8.0,,,,1594228778.75325,3.13
192,8.0,,,,1594228778.7630262,-4.09
193,8.0,,,,1594228778.7728026,-28.25
194,8.0,,,,1594228778.7825785,-16.32
195,8.0,,,,1594228778.7923546,16.71
196,8.0,,,,1594228778.8021307,18.64
197,8.0,,,,1594228778.8119068,24.35
198,8.0,,,,1594228778.821683,47.51
199,8.0,,,,1594228778.831459,36.49
200,8.0,,,,1594228778.8412352,-17.33
201,8.0,,,,1594228778.8510113,-17.81
202,8.0,,,,1594228778.8607874,5.53
203,8.0,,,,1594228778.8705635,-1.26
204,8.0,,,,1594228778.8803394,-21.18
205,8.0,,,,1594228778.8901155,-48.42
206,8.0,,,,1594228778.899892,-67.21
207,8.0,,,,1594228778.909668,-44.92
208,8.0,,,,1594228778.9194438,-4.48
209,8.0,,,,1594228778.9292202,7.25
210,8.0,,,,1594228778.9389966,-5.97
211,8.0,,,,1594228778.9487724,8.6
212,8.0,,,,1594228778.9585485,6.6
213,8.0,,,,1594228778.968325,-17.26
214,8.0,,,,1594228778.9781008,-5.34
215,8.0,,,,1594228778.987877,41.9
216,8.0,,,,1594228778.997653,58.88
217,8.0,,,,1594228779.0074296,0.57
218,8.0,,,,1594228779.0172052,-6.11
219,8.0,,,,1594228779.0269814,27.91
220,8.0,,,,1594228779.0367575,27.84
221,8.0,,,,1594228779.0465336,10.51
222,8.0,,,,1594228779.0563095,4.82
223,8.0,,,,1594228779.0660858,9.24
224,8.0,,,,1594228779.075862,-1.03
225,8.0,,,,1594228779.085638,-15.63
226,8.0,,,,1594228779.0954142,-21.55
227,8.0,,,,1594228779.1051905,7.98
228,8.0,,,,1594228779.1149664,23.89
229,8.0,,,,1594228779.1247425,-6.68
230,8.0,,,,1594228779.1345186,-17.93
231,8.0,,,,1594228779.1442947,-19.12
232,8.0,,,,1594228779.1540706,-25.22
233,8.0,,,,1594228779.163847,-53.98
234,8.0,,,,1594228779.173623,-56.87
235,8.0,,,,1594228779.1833992,-25.94
236,8.0,,,,1594228779.193175,-11.63
237,8.0,,,,1594228779.2029517,-19.59
238,8.0,,,,1594228779.2127275,17.14
239,8.0,,,,1594228779.2225034,7.17
240,8.0,,,,1594228779.2322798,2.85
241,8.0,,,,1594228779.2420561,27.54
242,8.0,,,,1594228779.251832,18.58
243,8.0,,,,1594228779.2616081,4.6
244,8.0,,,,1594228779.2713842,20.57
245,8.0,,,,1594228779.2811606,3.42
246,8.0,,,,1594228779.2909365,-13.54
247,8.0,,,,1594228779.3007126,2.95
248,8.0,,,,1594228779.3104887,-14.38
249,8.0,,,,1594228779.3202648,-10.11
250,8.0,,,,1594228779.330041,-28.03
251,8.0,,,,1594228779.339817,-10.27
252,8.0,,,,1594228779.3495932,-20.86
253,8.0,,,,1594228779.3593693,3.33
254,8.0,,,,1594228779.3691454,6.74
255,8.0,,,,1594228779.3789215,-1.17
256,8.0,,,,1594228779.3886974,-1.24
257,8.0,,,,1594228779.3984735,9.78
258,8.0,,,,1594228779.40825,26.11
259,8.0,,,,1594228779.418026,8.56
260,8.0,,,,1594228779.4278018,-4.64
261,8.0,,,,1594228779.4375782,16.92
262,8.0,,,,1594228779.4473546,20.25
263,8.0,,,,1594228779.4571304,-9.81
264,8.0,,,,1594228779.4669065,-35.7
265,8.0,,,,1594228779.476683,-42.06
266,8.0,,,,1594228779.4864588,-25.74
267,8.0,,,,1594228779.496235,12.1
268,8.0,,,,1594228779.506011,25.8
269,8.0,,,,1594228779.5157876,54.69
270,8.0,,,,1594228779.5255632,-26.42
271,8.0,,,,1594228779.5353394,-2.7
272,8.0,,,,1594228779.5451155,-3.94
273,8.0,,,,1594228779.554891,14.62
274,8.0,,,,1594228779.5646675,22.94
275,8.0,,,,1594228779.5744438,-6.75
276,8.0,,,,1594228779.58422,-34.09
277,8.0,,,,1594228779.593996,-12.22
278,8.0,,,,1594228779.6037722,37.42
279,8.0,,,,1594228779.6135485,25.03
280,8.0,,,,1594228779.6233244,4.94
281,8.0,,,,1594228779.6331005,8.67
282,8.0,,,,1594228779.6428766,-11.34
283,8.0,,,,1594228779.6526527,30.32
284,8.0,,,,1594228779.6624286,33.24
285,8.0,,,,1594228779.672205,19.65
286,8.0,,,,1594228779.681981,-4.55
287,8.0,,,,1594228779.6917572,-3.16
288,8.0,,,,1594228779.7015333,-25.78
289,8.0,,,,1594228779.7113097,-25.96
290,8.0,,,,1594228779.7210855,-1.71
291,8.0,,,,1594228779.7308614,-15.39
292,8.0,,,,1594228779.7406378,-13.83
293,8.0,,,,1594228779.7504141,-29.58
294,8.0,,,,1594228779.76019,-30.01
295,8.0,,,,1594228779.7699661,-6.35
296,8.0,,,,1594228779.7797422,-10.73
297,8.0,,,,1594228779.7895186,5.66
298,8.0,,,,1594228779.7992945,-3.52
299,8.0,,,,1594228779.8090706,9.76
300,8.0,,,,1594228779.8188467,10.64
301,8.0,,,,1594228779.8286226,22.72
302,8.0,,,,1594228779.838399,43.63
303,8.0,,,,1594228779.848175,-3.18
304,8.0,,,,1594228779.8579512,-2.62
305,8.0,,,,1594228779.8677273,-18.05
306,8.0,,,,1594228779.8775036,-19.94
307,8.0,,,,1594228779.8872795,-1.26
308,8.0,,,,1594228779.8970554,-1.39
309,8.0,,,,1594228779.9068315,13.2
310,8.0,,,,1594228779.916608,0.69
311,8.0,,,,1594228779.926384,9.48
312,8.0,,,,1594228779.9361598,27.31
313,8.0,,,,1594228779.9459364,7.36
314,8.0,,,,1594228779.9557126,23.96
315,8.0,,,,1594228779.9654884,-0.44
316,8.0,,,,1594228779.9752645,-30.05
317,8.0,,,,1594228779.985041,-17.01
318,8.0,,,,1594228779.9948168,-6.72
319,8.0,,,,1594228780.004593,4.37
320,8.0,,,,1594228780.014369,21.54
321,8.0,,,,1594228780.0241456,4.69
322,8.0,,,,1594228780.0339212,-7.56
323,8.0,,,,1594228780.0436974,-17.19
324,8.0,,,,1594228780.0534735,-15.35
325,8.0,,,,1594228780.063249,-15.11
326,8.0,,,,1594228780.0730257,-4.31
327,8.0,,,,1594228780.0828018,-0.03
328,8.0,,,,1594228780.092578,-15.97
329,8.0,,,,1594228780.1023538,0.48
330,8.0,,,,1594228780.1121302,12.58
331,8.0,,,,1594228780.1219065,13.93
332,8.0,,,,1594228780.1316824,2.57
333,8.0,,,,1594228780.1414585,4.63
334,8.0,,,,1594228780.1512346,2.05
335,8.0,,,,1594228780.1610107,6.47
336,8.0,,,,1594228780.1707866,26.97
337,8.0,,,,1594228780.180563,3.27
338,8.0,,,,1594228780.190339,4.5
339,8.0,,,,1594228780.2001152,-5.62
340,8.0,,,,1594228780.2098913,-6.15
341,8.0,,,,1594228780.2196677,-9.68
342,8.0,,,,1594228780.2294436,-81.62
343,8.0,,,,1594228780.2392194,86.83
344,8.0,,,,1594228780.2489958,14.06
345,8.0,,,,1594228780.2587721,11.58
346,8.0,,,,1594228780.268548,-10.53
347,8.0,,,,1594228780.2783241,-30.47
348,8.0,,,,1594228780.2881002,-10.04
349,8.0,,,,1594228780.2978766,-11.84
350,8.0,,,,1594228780.3076525,4.92
351,8.0,,,,1594228780.3174286,2.73
352,8.0,,,,1594228780.3272047,-15.12
353,8.0,,,,1594228780.3369806,11.36
354,8.0,,,,1594228780.346757,-21.64
355,8.0,,,,1594228780.356533,-10.24
356,8.0,,,,1594228780.3663092,-17.36
357,8.0,,,,1594228780.376085,-22.86
358,8.0,,,,1594228780.3858616,24.79
359,8.0,,,,1594228780.3956375,13.76
360,8.0,,,,1594228780.4054134,41.0
361,8.0,,,,1594228780.4151895,0.12
362,8.0,,,,1594228780.424966,15.17
363,8.0,,,,1594228780.434742,-15.79
364,8.0,,,,1594228780.4445179,23.38
365,8.0,,,,1594228780.4542944,7.99
366,8.0,,,,1594228780.4640706,15.01
367,8.0,,,,1594228780.4738464,-3.94
368,8.0,,,,1594228780.4836226,-11.04
369,8.0,,,,1594228780.493399,-35.81
370,8.0,,,,1594228780.5031748,14.16
371,8.0,,,,1594228780.512951,-9.6
372,8.0,,,,1594228780.522727,-18.74
373,8.0,,,,1594228780.5325036,-19.43
374,8.0,,,,1594228780.5422792,12.66
375,8.0,,,,1594228780.5520554,4.42
376,8.0,,,,1594228780.5618315,19.19
377,8.0,,,,1594228780.5716074,-4.22
378,8.0,,,,1594228780.5813837,-11.45
379,8.0,,,,1594228780.5911598,91.19
380,8.0,,,,1594228780.600936,-590.48
381,8.0,,,,1594228780.6107118,466.43
382,8.0,,,,1594228780.6204882,157.52
383,8.0,,,,1594228780.6302645,35.74
384,8.0,,,,1594228780.6400404,-7.78
385,8.0,,,,1594228780.6498165,-2.86
386,8.0,,,,1594228780.6595926,-23.62
387,8.0,,,,1594228780.6693687,38.54
388,8.0,,,,1594228780.6791446,-56.79
389,8.0,,,,1594228780.688921,-2.7
390,8.0,,,,1594228780.698697,-21.08
391,8.0,,,,1594228780.7084732,3.0
392,8.0,,,,1594228780.7182493,-17.72
393,8.0,,,,1594228780.7280257,-17.88
394,8.0,,,,1594228780.7378016,21.99
395,8.0,,,,1594228780.7475774,2.7
396,8.0,,,,1594228780.7573538,37.33
397,8.0,,,,1594228780.7671301,8.87
398,8.0,,,,1594228780.776906,20.52
399,8.0,,,,1594228780.7866821,0.52
400,8.0,,,,1594228780.7964582,4.98
401,8.0,,,,1594228780.8062346,-1.61
402,8.0,,,,1594228780.8160105,4.52
403,8.0,,,,1594228780.8257866,-14.06
404,8.0,,,,1594228780.8355627,-21.24
405,8.0,,,,1594228780.8453386,-25.8
406,8.0,,,,1594228780.855115,-9.86
407,8.0,,,,1594228780.864891,-6.22
408,8.0,,,,1594228780.8746672,-17.17
409,8.0,,,,1594228780.8844433,4.49
410,8.0,,,,1594228780.8942196,2.51
411,8.0,,,,1594228780.9039955,6.78
412,8.0,,,,1594228780.9137714,8.26
413,8.0,,,,1594228780.9235475,18.62
414,8.0,,,,1594228780.933324,-1.66
415,8.0,,,,1594228780.9431,-10.22
416,8.0,,,,1594228780.952876,-10.95
417,8.0,,,,1594228780.9626524,-19.89
418,8.0,,,,1594228780.9724286,-13.29
419,8.0,,,,1594228780.9822044,-1.46
420,8.0,,,,1594228780.9919806,-1.73
421,8.0,,,,1594228781.0017571,2.0
422,8.0,,,,1594228781.0115328,9.28
423,8.0,,,,1594228781.021309,3.44
424,8.0,,,,1594228781.031085,9.35
425,8.0,,,,1594228781.0408616,12.41
426,8.0,,,,1594228781.0506372,11.43
427,8.0,,,,1594228781.0604134,-11.33
428,8.0,,,,1594228781.0701895,-5.41
429,8.0,,,,1594228781.0799654,-8.17
430,8.0,,,,1594228781.0897415,-17.46
431,8.0,,,,1594228781.0995178,12.0
432,8.0,,,,1594228781.109294,-2.75
433,8.0,,,,1594228781.1190698,10.95
434,8.0,,,,1594228781.1288464,21.57
435,8.0,,,,1594228781.1386225,30.43
436,8.0,,,,1594228781.1483984,6.1
437,8.0,,,,1594228781.1581745,-8.56
438,8.0,,,,1594228781.1679506,-16.48
439,8.0,,,,1594228781.1777267,-9.2
440,8.0,,,,1594228781.1875026,-7.59
441,8.0,,,,1594228781.197279,-5.79
442,8.0,,,,1594228781.207055,-4.58
443,8.0,,,,1594228781.2168312,7.71
444,8.0,,,,1594228781.2266073,-2.87
445,8.0,,,,1594228781.2363837,7.48
446,8.0,,,,1594228781.2461596,-6.18
447,8.0,,,,1594228781.2559354,-6.64
448,8.0,,,,1594228781.2657118,-25.47
449,8.0,,,,1594228781.2754881,-12.54
450,8.0,,,,1594228781.285264,-2.28
451,8.0,,,,1594228781.2950401,-3.06
452,8.0,,,,1594228781.3048162,-0.76
453,8.0,,,,1594228781.3145926,-2.37
454,8.0,,,,1594228781.3243685,0.02
455,8.0,,,,1594228781.3341446,-13.88
456,8.0,,,,1594228781.3439207,-9.57
457,8.0,,,,1594228781.3536966,4.48
458,8.0,,,,1594228781.363473,13.29
459,8.0,,,,1594228781.373249,2.35
460,8.0,,,,1594228781.3830252,22.37
461,8.0,,,,1594228781.3928013,16.36
462,8.0,,,,1594228781.4025776,-1.25
463,8.0,,,,1594228781.4123535,-8.41
464,8.0,,,,1594228781.4221294,-13.63
465,8.0,,,,1594228781.4319055,-14.83
466,8.0,,,,1594228781.441682,-9.08
467,8.0,,,,1594228781.451458,3.89
468,8.0,,,,1594228781.461234,2.22
469,8.0,,,,1594228781.4710102,-2.04
470,8.0,,,,1594228781.4807866,8.77
471,8.0,,,,1594228781.4905624,8.3
472,8.0,,,,1594228781.5003386,-13.71
473,8.0,,,,1594228781.5101151,4.76
474,8.0,,,,1594228781.5198908,3.78
475,8.0,,,,1594228781.529667,2.0
476,8.0,,,,1594228781.539443,8.16
477,8.0,,,,1594228781.5492196,-3.2
478,8.0,,,,1594228781.5589952,-12.83
479,8.0,,,,1594228781.5687716,-2.69
480,8.0,,,,1594228781.5785475,8.88
481,8.0,,,,1594228781.5883234,-1.8
482,8.0,,,,1594228781.5980995,-4.74
483,8.0,,,,1594228781.6078758,0.4
484,8.0,,,,1594228781.617652,1.28
485,8.0,,,,1594228781.6274278,5.5
486,8.0,,,,1594228781.6372044,-5.11
487,8.0,,,,1594228781.6469805,-3.35
488,8.0,,,,1594228781.6567564,-13.85
489,8.0,,,,1594228781.6665325,-24.93
490,8.0,,,,1594228781.6763086,-5.59
491,8.0,,,,1594228781.6860847,21.53
492,8.0,,,,1594228781.6958606,34.17
493,8.0,,,,1594228781.705637,69.52
494,8.0,,,,1594228781.715413,14.81
495,8.0,,,,1594228781.7251892,32.8
496,8.0,,,,1594228781.7349653,35.14
497,8.0,,,,1594228781.7447414,-107.65
498,8.0,,,,1594228781.7545176,-171.75
499,8.0,,,,1594228781.7642937,-72.82
500,8.0,,,,1594228781.7740698,-13.31
501,8.0,,,,1594228781.7838461,63.21
502,8.0,,,,1594228781.793622,107.15
503,8.0,,,,1594228781.8033981,86.83
504,8.0,,,,1594228781.8131742,66.42
505,8.0,,,,1594228781.8229506,22.65
506,8.0,,,,1594228781.8327265,-61.99
507,8.0,,,,1594228781.8425026,1.9
508,8.0,,,,1594228781.8522787,10.83
509,8.0,,,,1594228781.8620546,0.44
510,8.0,,,,1594228781.871831,-8.01
511,8.0,,,,1594228781.881607,5.8
512,8.0,,,,1594228781.8913832,-8.01
513,8.0,,,,1594228781.9011593,-5.83
514,8.0,,,,1594228781.9109356,-26.35
515,8.0,,,,1594228781.9207115,-14.76
516,8.0,,,,1594228781.9304874,2.31
517,8.0,,,,1594228781.9402635,19.38
518,8.0,,,,1594228781.95004,19.51
519,8.0,,,,1594228781.959816,-20.95
520,8.0,,,,1594228781.969592,-12.83
521,8.0,,,,1594228781.9793682,10.75
522,8.0,,,,1594228781.9891446,-5.31
523,8.0,,,,1594228781.9989204,22.79
524,8.0,,,,1594228782.0086966,7.19
525,8.0,,,,1594228782.0184727,-3.47
526,8.0,,,,1594228782.0282488,-24.69
527,8.0,,,,1594228782.038025,-22.85
528,8.0,,,,1594228782.047801,10.67
529,8.0,,,,1594228782.0575776,25.19
530,8.0,,,,1594228782.0673532,12.51
531,8.0,,,,1594228782.0771296,44.75
532,8.0,,,,1594228782.0869055,41.28
533,8.0,,,,1594228782.0966814,-9.79
534,8.0,,,,1594228782.1064575,-23.07
535,8.0,,,,1594228782.1162338,5.41
536,8.0,,,,1594228782.12601,-0.12
537,8.0,,,,1594228782.135786,-18.58
538,8.0,,,,1594228782.1455624,-39.65
539,8.0,,,,1594228782.1553385,-67.75
540,8.0,,,,1594228782.1651144,-51.57
541,8.0,,,,1594228782.1748905,-6.94
542,8.0,,,,1594228782.1846664,4.8
543,8.0,,,,1594228782.1944427,-3.53
544,8.0,,,,1594228782.2042189,1.02
545,8.0,,,,1594228782.213995,14.63
546,8.0,,,,1594228782.223771,-15.07
547,8.0,,,,1594228782.2335472,-8.91
548,8.0,,,,1594228782.2433233,31.14
549,8.0,,,,1594228782.2530994,63.21
550,8.0,,,,1594228782.2628756,8.57
551,8.0,,,,1594228782.2726517,-8.35
552,8.0,,,,1594228782.2824278,23.4
553,8.0,,,,1594228782.292204,29.29
554,8.0,,,,1594228782.30198,13.57
555,8.0,,,,1594228782.3117561,5.02
556,8.0,,,,1594228782.3215322,7.97
557,8.0,,,,1594228782.3313086,2.55
558,8.0,,,,1594228782.3410845,-13.16
559,8.0,,,,1594228782.3508606,-23.33
560,8.0,,,,1594228782.3606367,2.81
561,8.0,,,,1594228782.3704126,24.75
562,8.0,,,,1594228782.3801892,0.71
563,8.0,,,,1594228782.389965,-19.01
564,8.0,,,,1594228782.3997412,-21.55
565,8.0,,,,1594228782.4095173,-21.36
566,8.0,,,,1594228782.4192936,-50.89
567,8.0,,,,1594228782.4290695,-57.75
568,8.0,,,,1594228782.4388454,-32.33
569,8.0,,,,1594228782.4486215,-13.19
570,8.0,,,,1594228782.458398,-20.4
571,8.0,,,,1594228782.468174,12.74
572,8.0,,,,1594228782.47795,10.64
573,8.0,,,,1594228782.4877262,-3.02
574,8.0,,,,1594228782.4975026,31.07
575,8.0,,,,1594228782.5072784,16.79
576,8.0,,,,1594228782.5170546,1.41
577,8.0,,,,1594228782.5268307,21.45
578,8.0,,,,1594228782.5366068,8.2
579,8.0,,,,1594228782.546383,-12.57
580,8.0,,,,1594228782.556159,1.55
581,8.0,,,,1594228782.5659351,-9.23
582,8.0,,,,1594228782.5757113,-13.6
583,8.0,,,,1594228782.5854876,-25.48
584,8.0,,,,1594228782.5952635,-13.13
585,8.0,,,,1594228782.6050394,-21.09
586,8.0,,,,1594228782.6148155,0.67
587,8.0,,,,1594228782.6245918,4.72
588,8.0,,,,1594228782.634368,4.93
589,8.0,,,,1594228782.644144,-4.72
590,8.0,,,,1594228782.6539204,8.68
591,8.0,,,,1594228782.6636965,24.08
592,8.0,,,,1594228782.6734724,12.17
593,8.0,,,,1594228782.6832485,-2.63
594,8.0,,,,1594228782.6930244,10.74
595,8.0,,,,1594228782.7028008,25.29
596,8.0,,,,1594228782.7125769,-6.18
597,8.0,,,,1594228782.722353,-33.13
598,8.0,,,,1594228782.7321286,-39.57
599,8.0,,,,1594228782.7419052,-33.52
600,8.0,,,,1594228782.7516813,8.25
601,8.0,,,,1594228782.7614574,24.84
602,8.0,,,,1594228782.7712336,-0.2
603,8.0,,,,1594228782.7810097,27.83
604,8.0,,,,1594228782.7907858,2.16
605,8.0,,,,1594228782.800562,-6.79
606,8.0,,,,1594228782.810338,14.26
607,8.0,,,,1594228782.8201141,22.4
608,8.0,,,,1594228782.8298905,0.61
609,8.0,,,,1594228782.8396664,-33.36
610,8.0,,,,1594228782.8494425,-18.37
611,8.0,,,,1594228782.8592186,31.79
612,8.0,,,,1594228782.8689947,29.75
613,8.0,,,,1594228782.8787706,5.99
614,8.0,,,,1594228782.8885472,12.17
615,8.0,,,,1594228782.898323,-14.73
616,8.0,,,,1594228782.9080992,27.74
617,8.0,,,,1594228782.9178753,31.07
618,8.0,,,,1594228782.9276516,20.84
619,8.0,,,,1594228782.9374275,1.19
620,8.0,,,,1594228782.9472034,-2.97
621,8.0,,,,1594228782.9569798,-20.69
622,8.0,,,,1594228782.966756,-29.62
623,8.0,,,,1594228782.976532,-3.31
